company_id,year,horizon_years,revenue_cagr_value,revenue_cagr_flag,pat_cagr_value,pat_cagr_flag,eps_cagr_value,eps_cagr_flag
AXISBANK,Mar 2017,3,13.28,NORMAL,-16.05,DECLINE,-16.75,DECLINE
AXISBANK,Mar 2018,3,8.87,NORMAL,-66.53,DECLINE,-68.17,DECLINE
AXISBANK,Mar 2018,5,10.99,NORMAL,-44.37,DECLINE,-46.11,DECLINE
AXISBANK,Mar 2019,3,10.29,NORMAL,-17.15,DECLINE,-19.88,DECLINE
AXISBANK,Mar 2019,5,12.41,NORMAL,-5.54,DECLINE,-7.09,DECLINE
AXISBANK,Mar 2020,3,12.03,NORMAL,-23.81,DECLINE,-26.32,DECLINE
AXISBANK,Mar 2020,5,12.04,NORMAL,-26.05,DECLINE,-28.0,DECLINE
AXISBANK,Mar 2021,5,9.1,NORMAL,-4.34,DECLINE,-8.87,DECLINE
BAJAJHLDNG,Mar 2018,3,-7.11,DECLINE,9.38,NORMAL,9.51,NORMAL
BAJAJHLDNG,Mar 2019,3,-2.85,DECLINE,10.4,NORMAL,10.33,NORMAL
BAJAJHLDNG,Mar 2020,3,-19.76,DECLINE,7.59,NORMAL,6.61,NORMAL
BAJAJHLDNG,Mar 2020,5,-3.65,DECLINE,8.71,NORMAL,8.13,NORMAL
BAJAJHLDNG,Mar 2021,5,-0.56,DECLINE,10.04,NORMAL,9.96,NORMAL
BAJAJHLDNG,Mar 2022,5,-10.48,DECLINE,10.78,NORMAL,10.4,NORMAL
BANKBARODA,Mar 2016,3,7.92,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BANKBARODA,Mar 2017,3,3.2,NORMAL,-28.32,DECLINE,-29.67,DECLINE
BANKBARODA,Mar 2018,3,0.84,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BANKBARODA,Mar 2018,5,4.79,NORMAL,,DECLINE_TO_LOSS,,DECLINE_TO_LOSS
BANKBARODA,Mar 2019,3,4.93,NORMAL,,TURNAROUND,,TURNAROUND
BANKBARODA,Mar 2019,5,5.51,NORMAL,-25.37,DECLINE,-29.52,DECLINE
BANKBARODA,Mar 2020,3,21.06,NORMAL,-19.13,DECLINE,-37.0,DECLINE
BANKBARODA,Mar 2020,5,11.93,NORMAL,-24.31,DECLINE,-35.56,DECLINE
BANKBARODA,Mar 2021,3,17.29,NORMAL,,TURNAROUND,,TURNAROUND
BANKBARODA,Mar 2021,5,10.16,NORMAL,,TURNAROUND,,TURNAROUND
